Albums,artists
Genç Caz+ 22," Sinan Cem Yücel, Doğukan Abuhanoğlu, Ali Açıkbaş, Kuzey Sinan Aktuğ, Berke Can Agagündüz, Elif Çohaz, Burak Atlı, Ayberk Garagon, Barış Kelebek, Ozan Akarsu, Can Acar, Ozan Köseoğlu, Oğuz Can Köseoğlu, Zafer Toker, Tuğrul Yanık, Sidar Torunlu, Samora Ogeda Chemba Obyerodhyambo,  Umut Veysel Demirtaş, Eren Kutlu, Ruhican Bozcu, Deniz Akan, Tarık Temüge"
Gençlik İle Elele," Mustafa Özkent, Ümit Aksu, Merih Dumlu, Cahit Oben"
Gencology, Genco Arı
Gencology Vol.2 Cool Down, Genco Arı
Geriye Ne Kaldı," Mert Pekduraner, Apostolos Sideris, Nihal Saruhanlı, Barış Demirel, Ezgi Coşkunpınar"
Gesi Bağları," Baturay Yarkın, Nağme Yarkın, Reindert Kragt, Esther Van Hees"
Get Around," Erdem Özkan, Kaan Bıyıkoğlu, Ozan Musluoğlu, Enver Muhamedi, Ekin Cengizkan, Batu Şallıel, Yahya Dai, Şenova Ülker, Bulut Gülen"
Gezegen," Cansu Nihal Akarsu, Devrim Demir Yeşilpınar, Halil Çağlar Serin, Bora Peynirci, Tolga Bilgin, Ezgi Alaş"
Ghosts Note," Ülkem Özsezen, Ozan Musluoğlu, Ferit Odman, Engin Recepoğulları"
Ghostwatch," Murat Çopur, Şenol Küçükyıldırım, Şevket Akıncı"
Gibi," Oğuz Büyükberber, Demirhan Baylan, Cem Aksel, Cengiz Baysal"
Glass Onion," Arif Mardin, Barry Beckett, Felix Cavaliere, David Hood, Roger Hawkins, Eddie Hinton, Jimmy Johnson, Andrew Love, Joe Arnold, King Curtis,  Seldon Powell, Charlie Mariano, Frank Wess, Floyd Newman, Pepper Adams, Harvey Estrin, Al Porcino, Bernie Glow, Ernie Royal, Herb Pomeroy, Joe Newman, Mel Davis, Wayne Jackson, Benny Powell, Garnett Brown, Jim Cleveland, Paul Faulise, Wayne Andre, Earl Chapin, Joseph De Angelis, Ray Alonge, Harvey Phillips, Marty Fulterman, Roger Hawkins, Eugene Greene, Gene Orloff, Lucien Schmit, Eddie Hinton, Donna Thatcher, Jeanie Greene, Mary Holiday"
Go Go Go, Elif Çağlar
Göç," Nevzat Yılmaz, Ozan Musluoğlu, Ediz Hafızoğlu, Tuba Önal, Gültekin Kaçar, Barış Bölükbaşı, Mehmet Akatay, Özer Arkun"
Göçebe," Güvenç Dağüstün, Burçin Büke, Baran Say, Berke Özgümüş, Gürtuğ Gök"
Golden Heart," Asena Akan, Adem Gülşen, Burç Bora Uyan, Ayça Daştan, Volkan Hürsever, Cem Aksel, Ricardo Marenghi, Serhan Erkol, Şenova Ülker, Bulut Gülen, Damla Aydın, Dirge Seçil Kuran"
"Good Fellas ""Jazz Standards"""," İlkin Deniz, Akın Eldes, Turgut Alp Bekoğlu"
Goodbye M.Ç.," Yavuz Akyazıcı, Volkan Hürsever"
Göstembil Project," Barış Demirel, Zeynep Turkmen, Ege Türkmenler"
Gözbebeğim," Burçin Büke, Volkan Hürsever, Zafer Erdaş, Yahya Dai, Ayşe Özbekligil"
Green in Blue, Burak Bedikyan
Green Jackets," Aycan Teztel, Volkan Öktem, Erkan Kenç, Anıl Şallıel, Şenova Ülker"
Green Wave," Okay Temiz, Cengiz Özdemir, Ergun Şenlendirici, Hakan Alvan, Mustafa Topaloğlu"
Greetings," Özkan Yalkınoğlu, Günther Beckers"
Gri / Gewr / Grey," Muzaffer Nezihi Egelioğlu, Erdem Tekinay, Taylan Ezer, Halil Yıldız, Suavi, ŞoreŞ, Özgür Abbak, Salim Kabacı, Ertan Tekin, Mustafa Eke, Emin Ay"
Groove Alla Turca," Burhan Öçal, Jamaaladeen Tacuma, Daryl Burge, Natacha Atlas, Miles Griffith, Songül Aktürk, Rick Iannacone, Ben Schachter, Jack Walrath, Art Baron, Ferdi Nadaz, Arif Erdebil, Ekrem Bağı, Fethi Tekyaygil, Cüneyt Coşkuner, Mehmet Dağdelen, Murat Sakarya, Timur Atasever, İlker Tekyaygil, Hüseyin Bitmez, Salih Nazım Peker, Şahin Sert"
Guitar Plus," Orhan Demir, Neil Swainson, Barry Elmes"
Güldede," Engin Gürkey, Birol Yayla, Donovan Mixon, Hüsnü Şenlendirici, Serkan Çağrı, Ercan Irmak, Mısırlı Ahmet, Marcel Khalife, Samim Karaca"
Güldencaz," Gülden Gökşen, Nurkan Renda, Mert Topel, Eylem Pelit, Volkan Öktem, Göksun Çavdar, Eyüp Hamiş, Özer Özel, Mehmet Akatay"
Güm Güm,Parça Listesi:
Gümüşlük Sessions: At Lons," Hüseyin Ertunç, Doğan Doğusel, Cem Tan, Umut Çağlar"
Güneşe Perdesiz," Süreyya Soyak, Görkem Ediz"
Güneşe Raks / Dance to the Sun," Taner Akyol, Antonis Anissegos, David Kuckhermann"
Günlerden Pazar," Funda Akyazıcı, Yavuz Akyazıcı, Enver Muhamedi, Cengiz Baysal"
Ha Det Sa Kul," Hayati Kafe, Janne Bergman, Per-Anders Fröding, Radu Mircea, Jan Allan"
Hadal Zone,<br/>
Hands and Lips," Kerem Görsev, Volkan Hürsever, Oğuz Durukan, Can Kozlu, Ricardo Moyano, Neşet Ruacan, Çınar Apay, İmer Demirer, Hakan Çimenot, Hakan Beşer, Can Kozlu"
Hane," Apostolos Sideris, Leo Genovese, Dimitris Klonis, Costas Baltazanis, Sarp Maden, Tamer Temel, Andrea Romani, Şakir Ozan Uygan, Giannis Poulios, Fotini Kokkala, Attab Haddad"
Hane-i Akustik," Akın Eldes, Sinan Cem Eroğlu"
Hanks Tune," Maffy Falay (Muvaffak Falay), Elvan Aracı, Ake Johansson, Per-Ola Gadd, Ronnie Gardiner, Bernt Rosengren"
Hard Way To Freedom," Yıldız İbrahimova, Anatoly Vapirov, Hristo Yotsov"
Harput Blues," Fatih Oral, Lütfücan Kapucu, Oğuz Alp Erdoğmuş"
Hayal Ederken," Pınar Seyhun, Ercüment Orkut, Eylem Pelit, Volkan Öktem, Cenk Eroğlu, Çağdaş Oruç, Şenova Ülker, Aycan Teztel, Seyid Mas, Seda Subaşı, Gizem Korkmaz, Deniz Yücel, Erman İmayhan"
Hayallerim," Turhan Yükseler, Eylem Pelit, Saygun Arpalı, Erdem Sökmen, Batu Şallıel, Göksun Çavdar, Gül Sıvacı, Öznur Delibaşı"
Hayata Evet," Pınar Dönmez, Pieter Althuis, Rob Scholtens, Joost Visser"
"Hayyam Sessions, Vol.1"," Bilal Karaman, Jarrod Cagwin"
Heads Or Tails, Murat Ertürk
Heal," Yinon Muallem, Armağan Durdağ, Kağan Yıldız, Ozan Musluoğlu, İlker Cankara, Gülseven Medar, Eda Karaytuğ, Ilan Damari, Cenk Erdoğan, Ömer Faruk Tekbilek, Burcu Karadağ, Volkan İncüvez, Derya Türkan, Uğurcan Sesler, Mehmet Dinleyen, Serkan Halili"
Hedi Hedi (Yavaş Yavaş)," Ruşen Alkar, Ayşe Tütüncü, Yıldırım Yalçınkaya, Apostolos Sideris, Cem Aksel, Sumru Ağıryürüyen, Ali Tekbaş, Mehmet Akbaş, Onur Duygulu, Paşa Çelik, Tamer Temel, Serhan Erkol, Özün Usta, Ertan Tekin, Volkan Ergen, Nihal Saruhanlı, Özün Usta, Elif Canfeza Gündüz"
Hediye," Burçin Büke, Volkan Hürsever, Volkan Öktem"
Hello Dolly," Hayati Kafe, Meta Roos, Sandvik Big Band"
Hep Sevelim," Fatih Oral, Lütfücan Kapucu, Oğuz Alp Erdoğmuş"
Hepsi Kafamda," Dilan Balkay, Onur Güney Kumaş"
Her Dem," Burçin Büke, Baran Say, Erhan Seçkin, Mihriban Aviral"
Her Şey Altüst (Baladlar)," Gülderen Erdoğmuş, Cem Tuncer"
Here and Now (Live at Soundpicnic)," Bidar, Can Arsoy, Eren Turgut, Fırtına Kıral, Durul Canberk İres, Özgün Tuncer"
Heres To Life," Yaşam Hancılar, Christian Pabst, Marco Zenini, Mauricio Ramirez"
Herkes Kendine Gidince," Melisa Karakurt, Tolga Akyıldız, Ahmet Demirkol"
Hicaz Dolap," Hüsnü Şenlendirici, Burç Şensesli, Nurhat Şensesli, Volkan Öktem, Mehmet Akatay, Özkan Alıcı, Nuri Lekesizgöz, Ergun Hepbildik, Gökhan Özoğuz, Hakan Özoğuz, Kibariye, Mustafa Uysal"
Hicaz ve Caz, İskender Şencemal
High Fly, Okay Temiz
Hijazz," Artun Sürmeli, Mehmet Alper Berksü, Eylem Pelit, Volkan Öktem, Ayla Bursa Berksü, Ercüment Ateş, Erkan Oğur, Şenova Ülker, Ercan Irmak, Şenol Filiz, Birol Yayla, Engin Gürkey, Taner Sayacoğlu, Fatmagül Ergün Keşek"
Hijazz 2," Mehmet Alper Berksü, Artun Sürmeli, Eylem Pelit, Volkan Öktem, Ercüment Ateş, Erkan Kenç, Şenova Ülker, Aycan Teztel, Şenol Filiz, Birol Yayla"
Home," Feyza Eren, Ryan Marquez, Ric Vice, Steve Davis"
Home," İlhan Erşahin, Larry Grenadier, Keny Wollesen"
Home (Live at Soundpicnic)," Bidar, Can Arsoy, Eren Turgut, Fırtına Kıral, Durul Canberk İres, Özgün Tuncer"
Home Alone," Cengiz Baysal, Demirhan Baylan, Sarp Maden"
Home Series," Can Tan, Özüm İtez, Ali Onur Olgun, Barış Demirel, Gözen Atila"
Hommage an Istanbul," Sema Moritz, Henning Schmiedt, Martin Lillich, Uli Moritz, Lothar Hensel, Volker Schlott, Charlie Mariano, Kamalesh Maitra, Okay Temiz"
Hope, Baturay Yarkın
Hope is a Lonesome Flower, Burak Bedikyan
Hoşnutluk Vadisi Orkestrası," Volkan Ergen, Tolga Tüzün, Ayberk Garagon, Burak Cihangirli, Ayşe Nur Yağız, Fulya Özlem, Şevket Akıncı, Nuri Atmaca, Nedim Ulusoy, Tarık Karakoç, Özgün Tuncer, Jürg Solothurnmann, Hazal Doleneken, Alper Maral, Yeşim Tezgören, Tuncay Korkmaz, Elif Canfezâ Gündüz, Ozan Bircan, Furkan Resuloğlu, Mustafa Gencer, Ross Daly, Cihan Gülbudak, Eléonore Fourniau"
Hot Cargo," Orhan Demir, Thomas Olejnicki, Perry Pansieri, Francois Briere"
House by the Lake," Sarp Maden, Cengiz Baysal, Apostolos Sideris, Ercüment Orkut, Deniz Mahir Kartal"
How Much Do You Love Me?," Tuna Ötenel, Kürşat And, Ateş Tezer, Neşet Ruacan, İmer Demirer"
How Much Is Yours," Arto Tunçboyacıyan, Vahagn Hayrapetyan, Vardan Arakelyan, Arman Jalalyan, Armen Hyusnunts, David Nalchajyan, Tigran Suchyan, Ashot Harutiunyan, Norayr Kartashyan, Vardan Grigoryan, Anahit Artushyan, Armen Ayvazyan, Armenian Navy Band"
Hub Art Special Edition," Hakan Başar, Jimmy Haslip, Will Kennedy"
Huitwalahit," Murat Yıldız, Kayhan Kurtuldu, Vedat Şanlı, Özgür Yazıcı, Ozan Uyan, Cenk Şanlıoğlu"
Hüsn-ü Klarnet (The Joy of Clarinet),<br/>
Huzursuzluk," Can Tutuğ, Erdem Uvalıoğlu"
Hyper," Koray Ergünay, Volkan Yırtıcı, Şinasi Celayiroğlu, Cihan Gülmez, Burak Yücesoy, Hikmet Altunbaşlier, Gürcan Konanç"
Hypnopedia,"https://cazkolik.com/radyo-cazkolik/devrim-dikkaya-fihristimdeki-cazseverler/fihristimdeki-cazseverler-011,-konuklar-salih-korkut-peker,-nilufer-akdogu,-selim-gurcan,-halil-caglar-serin"
I Love May," Kerem Görsev, Eric Revis, Volkan Hürsever, Dana Murray, Murat Yeter, Neşet Ruacan, İmer Demirer, Emre Kayhan"
I Wish I Knew," Feyza Eren, Ric Vice, Steve Davis, Vince Vervel"
İçimde Aşk Var," Şenay Lambaoğlu, Ercüment Orkut, Kağan Yıldız, Eylem Pelit, Ediz Hafızoğlu, Cem Tuncer, Yahya Dai, Şenova Ülker, Seda Subaşı, Ceren Gürkan, Deniz Yücel, Erman İmayhan"
If," Fahir Atakoğlu, Anthony Jackson, Horacio El Negro Hernandez, Donny McCaslin"
If You Have Time," Korhan Futacı, Umut Çağlar, Özün Usta, Korhan Argüden, Joe McPhee"
If You Loved Me, Elif Çağlar
İhtimaller," Kenan Doğulu, Ercüment Orkut, Can Çankaya, Ozan Musluoğlu, Ferit Odman, Mehmet İkiz, Engin Recepoğulları, Şenova Ülker, Bulut Gülen"
İkinci Cihan," Birsen Tezer, Bülent Ortaçgil, İlhan Şeşen, Sibel Köse, Akın Eldes, Bülent Ortaçgil, Erkan Oğur"
İklim Değişikliği (Climate Change)," Burak Kaya, Ozan Musluoğlu, Yinon Muallem"
İle," Cenk Erdoğan, Alper Kılıç, Arda Baykurt"
İlk," Lizet Rofe, Jülide Özçelik, Cenk Rofe, Zümra Lü Oktayoğlu, Emre Oktayoğlu, Soner Şeker, Alpar Lü, Emre Yenson, Şenova Ülker, Volkan Coşkun, Halil Yiğit, Güniz Yılmaz, Nihan Şeker, Başak Elkutlu, Nilgün Lü"
İlk," Selim Benba, Erdal Akyol, Ferit Odman, Sıtkı Sırtanadolu, Yahya Dai, SPIN (Spin)"
İlk Konser," Durul Gence, Cezmi Başeğmez, Onno Tunç, Ruli Karaca, Erol Duygulu, İrfan Sümer, Pierre Daniel, John Gilbert, Özer Süalp, Eddie Meier, Serpil Gence,  Kamil Şükun"
İlk Renk," Güç Başar Gülle, Volkan Hürsever, Türker Çolak"
Illusory Eternity, Yıldız İbrahimova
Im New," Feyza Eren, Emin Fındıkoğlu, Melik Yirmibir, Mehmet İkiz, Tuna Ötenel, İmer Demirer, Şenova Ülker, Elvan Aracı, Hasan Kocamaz, Jozi Levi"
"Im the Sky, Im the Earth"," Deniz Taşar, Halil Çağlar Serin"
Imagination," Feyza Eren, Ryan Marquez, Ric Vice, Steve Davis"
Improvisational Music Part 1," Cengiz Yaltkaya, John Allen Graves (John Graves), Marco Piali"
Improvisational Music Part 2," Cengiz Yaltkaya, John Allen Graves (John Graves), Marco Piali"
In Wonderland," Ara Dinkjian, Arto Tunçboyacıyan, Armen Donelian, Marc Johnson"
Inherence," Timuçin Şahin, Christopher Tordini, Tyshawn Sorey, John O' Gallagher, Ralph Alessi"
Injured," Tolga Tüzün, Oğuz Büyükberber, Ned McGowan"
Inner Circle," Koray Ergünay, Ozan Dündar, Emin Güven, Kuzey Yılmaz"
Insaf, Burak Bedikyan
Inside, Baturay Yarkın
Inside Out, Efe Demiral
Insight," Aydın Esen, Kai Eckhardt, Ranjit Barot, Tuba Çavuşoğlu"
Inspirations," Özkan Yalkınoğlu, Eckhard Freund, Arto Tunçboyacıyan"
Instance," Enver Muhamedi, Kaan Bıyıkoğlu, Ekin Cengizkan, Visar Kuçi"
Instant," Çağrı Sertel, Volkan Hürsever, Volkan Öktem, Sarp Maden, Engin Recepoğulları, Çağ Erçağ"
Interactions," Kamil Erdem, Fatih Ahıskalı, Kaan Ahıskalı, Brian Caballero, Ülkü Aybala Sunat"
Introspection, Burak Bedikyan
Invite Your Eye," İlhan Erşahin, Dave Harrington, Kenny Wollesen"
Işığın Sesi (Voice of Rainbow)," Yıldız İbrahimova, Anthony Donghev, Dimitar Sanov, Hristo Yotsov, Youlian Yanusev"
Islak Köpek," Şevket Akıncı, Dirk Stromberg, Robert Reigle, Volkan Terzioğlu, Mark Alban Lotz, Volkan Ergen"
Islam Blues,Kayıt Yeri: 
Issız," Sumru Ağıryürüyen, Ayşe Tütüncü, İlkin Deniz, Özgür Salıcı, Tanju Duru, Patrick Chartol, Cem Aksel, Tolga Yenilmez, Turgut Alp Bekoğlu, Akın Eldes, Tanju Duru, Yahya Dai, Ercan Irmak, Serdar Gönenç, Yinon Muallem, Yurdal Tokcan, Erkan Oğur"
İstanbul," Craig Harris, Barbaros Erköse, Ali Perret, Dennis Bovell, Al McDowell, Calvin Jones, Damon Duewhite, Tony Lewis, Carla Cook, Bill White, Kelvyn Bell,  Oğuz Büyükberber, Mehmet Erdem, Serdar Uçar, Ali Görgülü, Şaban Erköse"
Istanbul," İlhan Erşahin, Alp Ersönmez, Turgut Alp Bekoğlu, İzzet Kızıl, Murat Toktaş, Demet Evgar, Dilara Sakpınar, Gökhan Özoğuz, Nil Karaibrahimgil, Seda Akman, Wax Poetic (Grup)"
İstanbul," Melisa Karakurt, Onur Seçki, Altuğ Öncü"
İstanbul," Orçun Tekelioğlu, Orkun Tekelioğlu, Nurhat Şensesli, Erhan Şeçkin"
İstanbul Bana Ne Yaptın?," Fleur Odylle, Koray Üsgülen, Bora Bekiroğlu, Alpar Lü, Emre Kula, Nilgün Lü, Burcu Bal, Başak Elkutlu, Şirin Vatan"
İstanbul Edition," Ozan Musluoğlu, Onur Aymergen, Tolga Bilgin, Andrei Kondakov, Aleksandr Bozhenko"
Istanbul Express," Mehmet Ozan, Jens Jefsen, Durul Gence, Kasper Winding, Christian Sievert"
Istanbul Improv Sessions May 4th," Mark Alban Lotz, Şevket Akıncı, Robert Reigle, Volkan Terzioğlu, Kevin Davis, Korhan Erel"
Istanbul Improv Sessions May 5th, 10
Istanbul In Blue," Fahir Atakoğlu, Anthony Jackson, Wayne Krantz, Mike Stern, Bob Franceschini, Horacio El Negro Hernandez"
Istanbul Junction," Burak Bedikyan, Matt Hall (Matthew Hall), Can Kozlu, Gabor Bolla"
Istanbul Sessions With Erik Truffaz," İlhan Erşahin, Alp Ersönmez, Turgut Alp Bekoğlu, İzzet Kızıl, Erik Truffaz, Istanbul Sessions (Grup)"
Istanbul Superband plays Ömer Göksel," Ömer Göksel, Aycan Teztel, Serkan Özyılmaz, Gülden Teztel, Eylem Pelit, Volkan Öktem, Fatih Erkoç, Ercüment Ateş, Levent Altındağ, Yahya Dai, Serdar Barçın, Meriç Demirkol, Yahya Dai, Levent Altındağ, Yahya Dai, Levent Altındağ, Yahya Dai, Yahya Dai, Şenova Ülker, Halil İbrahim Işık, Erkut Gökgöz, Aycan Teztel, Gökay Gökşen, Doğan Aykon, Eray Zikguş, Hüsnü Şenlendirici, Levent Altındağ, Serdar Barçın, Ayşin Kiremitçi, Ercan Irmak, Jozi Levi, Ernesto Herrera, Mehmet Akatay, Hamdi Akatay, Istanbul Superband"
Istanbul Underground," İlhan Erşahin, Alp Ersönmez, Turgut Alp Bekoğlu, İzzet Kızıl, Istanbul Sessions (Grup)"
İstanbul'u Dinliyorum / Jazz Alaturka," Sema Moritz, Dieter Moritz, Martin Lillich, Uli Moritz, Lothar Hensel, Charlie Mariano, Kamalesh Maitra"
İstanbulda Eylül," Okay Temiz, Yves Rousseau, Alain Blesing, Lennart Aberg, Sylvain Kassap, Nedim Nalbantoğlu"
İstanbulun İzleri," Asena Akan, Burç Bora Uyan, Kağan Yıldız, Ferit Odman, Donovan Mixon, Bulut Gülen, Jean-Pierre Smadja"
Its a Family Thing," Cenk Esen, Aydın Esen, Jules Chappert, Jasper Williamson, Berker Banar, Aykan Esen, Yağmur Gökçelik, Berke Köymen, Daniel Guerrette, Mehmet Ali Şimayli, Şam, Leyla Huysal, Randy Esen, Bade, İzel Mori, Yusuf Huysal, Kerem Can Dündar, Toivo Hannigan, Kyu Hyun Kim"
İzhar," Nilüfer Verdi, Kağan Yıldız, Nedim Ruacan, Kamil Özler"
Jazz Alla Turca," Ahmet Kadri Rizeli, Nail Yavuzoğlu, Nezih Yeşilnil, Cem Aksel"
Jazz Bank," İlkin Deniz, Tarık Sezer, Cihan Okan, İmer Demirer"
Jazz Eastern," Osman İşmen, Hasan Cihat Örter, İsmail Soyberk, Emir Özoğlu, Levent Altındağ, Ercan Irmak, Mehmet Akatay, İlyas Tetik, Sendur Güzelel, Halil Karaduman"
Jazz Eastern Vol.2 (Jazz Eastern II),Kerem Türer
Jazz For My Little Cello," Gülşah Erol, Yiğit Avcı, Yiğit Can Öztop, Burak Cihangirli, Barış Ertürk, Duru Tuna"
Jazz Guitar," Önder Focan, Selim Benba, İlkin Deniz, Cankut Özgül"
Jazz I Sverige 72," Maffy Falay (Muvaffak Falay), Okay Temiz, Salih Baysal, Björn Alke, Bernt Rosengren, Tommy Koverhult, Peter Smoliansky"
Jazz İstanbul," Osman İşmen, İsmail Soyberk, Emir Özoğlu, Levent Altındağ, Bülent Altınbaş, Ercan Irmak, Mehmet Akatay"
Jazz İstanbul Volume 1," Jülide Özçelik, Genco Arı, Kağan Yıldız, Ediz Hafızoğlu, Cem Tuncer, Erbil Doğan, Meriç Demirkol, Halil İbrahim Işık, Hakan Çimenot"
Jazz İstanbul Volume 2," Jülide Özçelik, Ercüment Orkut, Kağan Yıldız, Cengiz Baysal, Cem Tuncer, Cenk Erdoğan, Şenova Ülker"
Jazz Semai," Erol Pekcan, Tuna Ötenel, Kudret Öztoprak"
Jazz Session," Özdemir Erdoğan, Uğur Dikmen, Ercüment Batanay, Fahrettin Çimenli, Günnur Perin, Melik Yirmibir, Onno Tunç, Asım Ekren, Cankut Özgül, Veysel Çadır, Süheyl Denizci, İsmet Sıral, Alaaddin Dal, Atakan Ünüvar, Erdoğan Ergün, Fatih Erkoç, Akagündüz Kutbay, Süleyman Ergüner, Asım Ekren,  Mehmet Horoz, Zafer Dilek, Bülent Şençalar, Mustafa Taşpınar, Mehmet Erenler, Mustafa Hisarlı, Baki Duyarlar, Osman Bayşu, İlkin Dinletir"
Jazz Turca," Alpay Ünyaylar, Umut Sel, Göksel Karagülleler, Linda Candır, Murat Yerinli, Tayfun Duygulu, Türker Dinletir, Gökhan Avcı"
Jazz Turca 2," Alpay Ünyaylar, Cenker Sarp, Mehmet Yüzgeç, Murat Yerinli, Turgay Özüfler, Türker Dinletir, Can Olgun, Ali Yılmaz"
JazzArk," Baki Duyarlar, Kristian Lind, Mehmet Akatay, Antonio Serrano"
Jest / Geste," Senem Diyici, Alain Blesing, Philippe Botta, Ravy Magnifique"
Journey," Arif Mardin, Richard Tee, Pat Rebillot, Ken Bichel, Milcho Leviev, Gordon Edwards, Tony Levin, Ron Carter, Alex Blake, Bernard Purdie, Stephen Gadd, Grady Tate, Billy Cobham, Ursula Dudziak-Urbaniak, Cornell Dupree, David Spinozza, Jerry Friedman, Michael Brecker, Joe Farrell, Seldon Powell, Phil Bodner, David Newman, Frank Wess, Romeo Penque, Pepper Adams, Randy Brecker, Marvin Stamm, Mel Davis, James Buffington, Tony Studd, Garnett Brown, Hubert Laws, Phil Bodner, Don Butterfield, George Devens, Ted Sommer, Ralph MacDonald, Armen Halburian, Gene Orloff, Michal Urbaniak, George Ricci, Gary Burton"
Just About Jazz," Selen Gülün, Patrick Zambonin, İlker Özalp, Jorg Mikula, Cengiz Baysal, Sarp Maden, Jan Larsen, Onur Türkmen, Michael Wilkens, Şenova Ülker"
Kabağı da Boynuma Takarım / Nihavent Longa, Erol Pekcan
Kadıköy," Emre Tankal, Volkan Topakoğlu, Berke Özgümüş, Tamer Temel, Çağıl Kaya"
Kadınlar Matinesi," Selen Gülün, Ceyda Köybaşıoğlu, Monika Bulanda, Başak Yavuz, Çağıl Kaya, Ece Göksu, Elif Çağlar Muslu, Şirin Soysal, Ülkü Aybala Sunat, Barış Ertürk, Siney Yılmaz, Serhan Erkol, Hakan Güven, İmge Tilif, Mehmet Yasemin, Umut Sağlam"
Kafi (Kâfi)," Akın Eldes, Patrick Chartol, Gürol Ağırbaş, Cem Aksel"
Kahvaltıda Caz," Kent Mete, Selahattin Yazıcıoğlu, Nikolai Uryupin"
KAM," Okan Kaya, Cihan Kahvecioğlu, Cansun Küçüktürk, Can Ömer Uygan"
Kamil Erdem - Rene Sopa Quartet," Kamil Erdem, Erhan Seçkin, Şenova Ülker, Rene Sopa"
Kapı," Selen Gülün, Emanuele De Raymondi, Marcello Allulli"
Kara Deniz (Black Sea)," Burhan Öçal, Enver Izmailov"
Kara Kutu," Cenk Erdoğan,  Hakan Gürbüz, Barış Doğukan Yazıcı, Hakkı Öztürk"
Karanlığa Döndüğüm Gün," Dilan Balkay, Onur Güney Kumaş, Onur Şekercioğlu, Salih Yeniev, Uğurcan Mamuzlu"
Karanlık / Gün," Can Değer Dülgeroğlu, Anıl Acıhan, Burakcan Yiğit, Kenan Arat, Burak Karadavut, Mehmet Denizci"
Karı Koca Kavgası, Kenan
Karma," Bilal Karaman, Genco Arı, Apostolos Sideris, Mehmet Ali Şimayli"
Karma," Ceyda Pirali, Volkan Hürsever, Volkan Öktem, Ekin Cengizkan, Oya Küçümen, Gürkan Özkan, Serkan Çağrı, Türker Çolak, Enver Mete Aslan"
Karnataka," Okay Temiz, Bobo Stenson, Stefan Brolund, R. A. Ramamani, Lennart Aberg, R. A. Rajagopal, T. N. Shashikuma, T. A. S. Mani"
Karnaval," Emir Ersoy, Andres Rabelo Macias, Şenova Ülker, Barış Doğukan Yazıcı, Aycan Teztel, Taşkın Akarsu, Tunç Çakır, Ateş Öztürkmen, Eylem Pelit, Erdem Sökmen, Cenk Erdoğan, Erhan Ersin, Rıza Tokmak, Volkan Öktem, Aleixi Contreras, Ayça Varlıer, Banu Kunt, Berna Anter, Duygu Çevik, Deniz Seki, Duygu Tarhan, Işın Karaca, Kenan Doğulu, Özgü Namal, Salih Süleymanoğlu, Yaşar"
Karsu," Karsu Dönmez, Jacob Lucas, Daniel Eskens, Yoran Vroom, Willem van der Krabben, Ulrich de Jesus, Daniel Mester, Miguel Boelens, Coos Zwagerman, Efe Erdem, Fuat Saka, Alpaslan Dönmez, Nizar Rohana"
Kastenfaul," Ozan Aktuna, Ali Onur Olgun"
Katibim," Dolunay Obruk, Koray Üsgülen, Mert Ertunç, Egemen Özkasnaklı, Bulut Gülen"
Kavis," Cenk Erdoğan, Gökhan Sürer, Kai Eckhardt, Jason Lewis, Sumru Ağıryürüyen"
Kedi Rüyası (Cats Dream)," Kamil Erdem, Zafer Gerdanlı, Yahya Dai, Ferhat Erdem, Mısırlı Ahmet, Turay Dinleyen, Tahir Aydoğdu"
Kelebek Orkide," Esra Kayıkçı, Uraz Kıvaner, Fırtına Kıral, Yahya Dai, Nedim Ulusoy"
Kemenjazz," Baki Duyarlar, Erdal Akyol, Cem Aksel, Dilek Türkan, Azize, Şenova Ülker, Derya Türkan"
Kerevet," Aslı Doğan, Richard Laniepce, Ercüment Orkut, Alper Yılmaz, Ediz Hafızoğlu, Ceylan Ertem, Cem Tuncer, Talat Karaoğlu, Ertan Şahin, Tamer Karaoğlu"
Keşke Burada Olsaydın," Kürşat Başar, Burçin Büke, Erol Evgin, İlhan Şeşen, Levent Yüksel, Sezen Aksu, Yeşim Salkım, Yaşar, Zeynep Talu, Berkay Özideş, Şenay Lambaoğlu"
Kibrit," Ahmet Kazım Müftüoğlu, Evrim Demirel, Barış Dağhan, İpek Göztepe, Göktürk Oray, Emre Berk Balta, Samet Kocamemiş, Efe Gazi, Burak Dursun"
Kime Kime Bu," Yiğit Tornacı, Doğancan Vural, Necmi Taşkıran, Emrecan Ağtaş, Mehmet Korkmaz, Özgün Tuncer, Kıvılcım Konca, Barış Yalaz"
Kimse Bilemez," Alper Durmuş, Berkan Kaya, Alper Yılmaz, Burak Cihangirli, Emre Karabulut"
Kimse Kalmadı," Erkan Oğur, Can Çankaya, Matt Hall (Matthew Hall), Turgut Alp Bekoğlu"
Kırmızıya Çalıyor (Like Red),Ercüment Vural
Kış İnsanları,Parça Listesi:
Kısa Öyküler (Short Stories)," Mustafa Dönmez, Ümit Onartan"
Kıyamet," Serra Erkoç, Caner Üstündağ, Turgut Alp Bekoğlu, Gültekin Kaçar, Utku Akyol, Gökay Gökşen"
Knidost," Nilüfer Verdi, Apostolos Sideris, Ülkü Aybala Sunat"
Kocaman Bir Yalan," Melisa Karakurt, Veys Çolak, Dilan Balkay"
